,ID,NAME
393,ECOENUSAREAIP004000,재고율[미국]
394,ECOENUSAREAMF007000,고객재고지수[미국]
395,ECOENUSARREBK007000,모기지연체율(총연체_NSA)
396,ECOEONZLRLWUE002000,실업률(SA)[뉴질랜드]
397,ECOESBRARGVBP001000,경상수지
398,ECOEWDEURFDER001000,외환보유액[독일](금제외)
399,ECOEACHNFNAGG001000,중국-연간 경제전망치
400,ECOEAKORRCICI019000,후행종합지수(2015=100)
401,ECOEERUSRTDIM009000,수입[러시아]
402,ECOENUSARHSHC004000,신규주택판매[미국]
403,ECOESBRARPCCP004000,소비자물가(음식료)
404,ECOEWGBRRFDER001000,외환보유액[영국](금제외)
405,ECOFAKORRFDZZ003000,선물옵션예수금
406,ECOEAKORRNAGG007000,국내총투자율
407,ECOENUSARPCTB002000,수입물가[미국]
408,ECOEWDEURPCWP001000,도매물가[독일]
409,ECOEWDEURTDTB009000,무역수지[독일]
410,ECOEZEUZRGVBP002000,상품수지
411,ECOEZEUZRTDEX009000,수출[EU(27)]
412,ECOEACHNRCIOL001000,OECD 경기선행지수[중국]
413,ECOEACHNRTDTB009000,무역수지[중국]
414,ECOEAJPNRNARG003000,가계소비지출[일본](NSA)
415,ECOEAJPNRNARG006000,개인재고[일본](NSA)
416,ECOEAKORREAIP035000,광공업제품재고총지수(SA)
417,ECOEAKORRNAGG005000,건설투자증가율
418,ECOEATHARNARG001000,실질GDP[태국]
419,ECOEAJPNRNARG027000,정부지출[일본](SAAR)
420,ECOEAJPNRPCCP001000,생산자물가[일본]
421,ECOEAVNMRGVRC003000,재정수지[베트남]
422,ECOEAVNMRLWUE001000,실업률[베트남]
423,ECOEOAUSREAIP001000,산업생산[호주]
424,ECOEONZLRTDIM009000,수입[뉴질랜드]
425,ECOESBRARFDNR001000,장기금리
426,ECOESBRARPCCP009000,건강용품
427,ECOEWGBRRHSHP001000,할리팩스주택가격지수[영국]
428,ECOFAHKGRFDMP029000,홍콩 기준금리
429,ECOENUSAREAIP003000,기업판매[미국]
430,ECOENUSARLWLR002000,비농업단위노동비용[미국]
431,ECOESBRARPCCP012000,통신
432,ECOEWCHERTDIM009000,수입[스위스]
433,ECOEWPRTRFDER001000,외환보유액(금제외)
434,ECOEAHKGRFDER001000,외환보유액
435,ECOEAJPNRNARG019000,개인수요[일본](NSA)
436,ECOEAKORRNANG034000,순생산물세(명목)
437,ECOEEITARLWUE001000,실업률[이탈리아_NSA]
438,ECOESBRARNARG001000,(실질GDP)-N실질GDP
439,ECOESBRARNARG018000,운송
440,ECOEWITARTDIM009000,수입[이탈리아]
441,ECOFAKORRFDZZ011000,채권형
442,ECOFAKORRFDZZ013000,간접투자자금
443,ECOEEFINRPCCP001000,소비자물가[핀란드]
444,ECOEWIRLRTDEX009000,수출[아일랜드]
445,ECOEACHNRMTMS001000,통화량[중국](M0)
446,ECOEAJPNRFDER001000,외환보유액
447,ECOEAKORRCICI010000,장단기금리차(%p)(선행)
448,ECOEAKORRCICI012000,광공업생산지수(2015=100)(동행)
449,ECOEAKORRPCCP020000,식료품및에너지제외소비자물가지수(식료품및에너지제외)
450,ECOEAKORRTDBP005000,서비스수지
451,ECOEEAUTRTDEX009000,수출[오스트리아]
452,ECOEECYPRGVBP010000,경상수지(GDP 대비)[키프로스]
453,ECOEECYPRGVRC010000,일반정부 재정수지(GDP 대비)[키프로스]
